="Ärende (År:nr)";="Registreringsdatum";="Ärendemening"
="SI 2026:8689";="2026-09-02";"Riktad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Dammfriskolan för Offentlig huvudman MALMÖ KOMMUN i Malmö kommun, läsåret 2026/2027 "
="SI 2026:8688";="2026-09-02";="Utredning av lärare eller förskollärare i Norrköpings kommun "
="SI 2026:8687";="2026-09-02";="Uppgift om Lärande Grundskola Vira med huvudmannen Lärande förskolor och grundskolor i Sverige AB i Upplands Väsby kommun "
="SI 2026:8686";="2026-09-02";="Uppgift om Arlanda Anpassade Gymnasieskola med huvudmannen SIGTUNA KOMMUN i Sigtuna kommun "
="SI 2026:8685";="2026-09-02";"Riktad tillsyn, Skolenhetsnivå, gymnasieskola (inkl. HM) av Nils Ericsonsgymnasiet 1 för Offentlig huvudman Kunskapsförbundet Väst i Trollhättans kommun, läsåret 2026/2027 "
="SI 2026:8684";="2026-09-02";="Uppgift om Friskolan Lust & Lära med huvudmannen Friskolan Lust & Lära i Bollnäs AB i Bollnäs kommun "
="SI 2026:8683";="2026-09-02";="Utredning av lärare eller förskollärare i Norbergs kommun "
="SI 2026:8682";="2026-09-02";="Ansvarsfördelning för uppdrag i Skolinspektionens regleringsbrev för budgetåret 2026 "
="SI 2026:8681";="2026-09-02";="Uppgift om Kristinedalskolan AGR Anpassad Grundskola med huvudmannen STENUNGSUNDS KOMMUN i Stenungsunds kommun "
="SI 2026:8680";="2026-09-02";"Riktad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Bolidenskolan för Offentlig huvudman SKELLEFTEÅ KOMMUN i Skellefteå kommun, läsåret 2026/2027 "
="SI 2026:8679";="2026-09-02";"Riktad tillsyn, Individs situation av Dammfriskolan för Offentlig huvudman MALMÖ KOMMUN i Malmö kommun "
="SI 2026:8678";="2026-09-02";="Uppgift om Vanstaskolan F-9 med huvudmannen NYNÄSHAMNS KOMMUN i Nynäshamns kommun "
="SI 2026:8677";="2026-09-02";="Uppgift med huvudmannen PARTILLE KOMMUN i Partille kommun "
="SI 2026:8676";="2026-09-02";"Planerad tillsyn, Skolenhetsnivå, anpassad grundskola (inkl HM) av Bergsjö skola F-9 för Offentlig huvudman NORDANSTIGS KOMMUN i Nordanstigs kommun, läsåret 2026/2027 "
="SI 2026:8675";="2026-09-02";"Planerad tillsyn, Skolenhetsnivå, Förskoleklass och Grundskola (inkl. HM) av Bergsjö skola F-9 för Offentlig huvudman NORDANSTIGS KOMMUN i Nordanstigs kommun, läsåret 2026/2027 "
="SI 2026:8674";="2026-09-02";="Uppgift om Grebo skola med huvudmannen ÅTVIDABERGS KOMMUN i Åtvidabergs kommun "
="SI 2026:8673";="2026-09-02";"Riktad tillsyn, Individs situation av Skärsätra skola för Offentlig huvudman LIDINGÖ KOMMUN i Lidingö kommun "
="SI 2026:8672";="2026-09-02";="Uppgift om Tågarpskolan med huvudmannen BURLÖVS KOMMUN i Burlövs kommun "
="SI 2026:8671";="2026-09-02";="Uppgift om Fjälkinge skola LM med huvudmannen KRISTIANSTADS KOMMUN i Kristianstads kommun "
="SI 2026:8670";="2026-09-02";="Uppgift om Tegnérskolan med huvudmannen SÄFFLE KOMMUN i Säffle kommun "
="SI 2026:8669";="2026-09-02";="Remiss av promemorian Spetsutbildning i musik i grundskolan ? en försöksverksamhet (Ds 2026:13) "
="SI 2026:8668";="2026-09-02";="Uppgift om Söderby friskola med huvudmannen SÖDERBY FRISKOLA EKONOMISK FÖRENING i Salems kommun "
="SI 2026:8667";="2026-09-01";="Uppgift om Vittsjö skola F-6 med huvudmannen HÄSSLEHOLMS KOMMUN i Hässleholms kommun "
="SI 2026:8666";="2026-09-01";="Uppgift om Haganässkolan 1 med huvudmannen ÄLMHULTS KOMMUN i Älmhults kommun "
="SI 2026:8665";="2026-09-01";="Uppgift om Prästängsskolan med huvudmannen ALVESTA KOMMUN i Alvesta kommun "
="SI 2026:8664";="2026-09-01";"Uppgift om Uddevalla gymnasieskola, Agneberg GLU med huvudmannen UDDEVALLA KOMMUN i Uddevalla kommun "
="SI 2026:8663";="2026-09-01";="Uppgift om Tröingeskolan 1 med huvudmannen FALKENBERGS KOMMUN i Falkenbergs kommun "
="SI 2026:8662";="2026-09-01";="Uppgift om Kullstaskolan med huvudmannen RAGUNDA KOMMUN i Ragunda kommun "
="SI 2026:8661";="2026-09-01";="Uppgift om Bergumsskolan F-9 med huvudmannen GÖTEBORGS KOMMUN i Göteborgs kommun "
="SI 2026:8660";="2026-09-01";="Uppgift om Kristinebergskolan F-9 med huvudmannen OSKARSHAMNS KOMMUN i Oskarshamns kommun "
="SI 2026:8659";="2026-09-01";="Uppgift om Hagatorpskolan med huvudmannen Skolalliansen i Sverige AB i Ljungby kommun "
="SI 2026:8658";="2026-09-01";"Uppgift om Lycée Francais Saint Louis, gr med huvudmannen LYCÉE FRANCAIS SAINT-LOUIS i Stockholms kommun "
="SI 2026:8657";="2026-09-01";="Uppgift om Malmö stad komuvux anpassad jobbskola med huvudmannen MALMÖ KOMMUN i Malmö kommun "
="SI 2026:8656";="2026-09-01";="Remiss av betänkandet En ny speciallärarutbildning (SOU 2026:50) U2026/01497 "
="SI 2026:8655";="2026-09-01";"Annons. Enhetschef till Skolinspektionen i Göteborg, Vikariat "
="SI 2026:8654";="2026-09-01";="Uppgift om Murgårdsskolan med huvudmannen SANDVIKENS KOMMUN i Sandvikens kommun "
="SI 2026:8653";="2026-09-01";="Personuppgiftsbiträdesavtal "
="SI 2026:8652";="2026-09-01";="Personuppgiftsbiträdesavtal "
="SI 2026:8651";="2026-09-01";="Uppgift om Läroverket med huvudmannen HUDIKSVALLS KOMMUN i Hudiksvalls kommun "
="SI 2026:8650";="2026-09-01";="Uppgift om Algebraskolan med huvudmannen ALGEBRAUTBILDNING FÖRENINGEN i Göteborgs kommun "
="SI 2026:8649";="2026-09-01";="Utredning av lärare eller förskollärare i Skellefteå kommun "
="SI 2026:8648";="2026-09-01";="Anmälan om att använda fjärrundervisning från GÖTEBORGS KOMMUN för Fjällskolan F-6 "
="SI 2026:8647";="2026-09-01";"Uppgift om Lärcenter, vuxenutbildningen med huvudmannen SÄFFLE KOMMUN i Säffle kommun "
="SI 2026:8646";="2026-09-01";="Uppgift om Olaus Petriskolan F-6 med huvudmannen ÖREBRO KOMMUN i Örebro kommun "
="SI 2026:8645";="2026-09-01";="Uppgift i Sölvesborgs kommun"
="SI 2026:8644";="2026-09-01";="Uppgift om Edvardslundsskolan F-6 med huvudmannen ESKILSTUNA KOMMUN i Eskilstuna kommun "
="SI 2026:8643";="2026-09-01";="Uppgift om Mubarak Utbildning med huvudmannen Mubarak Utbildning AB i Sollentuna kommun "
="SI 2026:8642";="2026-09-01";="Uppgift om Gantofta skola med huvudmannen HELSINGBORGS KOMMUN i Helsingborgs kommun "
="SI 2026:8641";="2026-09-01";="Uppgift om Amerikanska Gymnasiet Halmstad med huvudmannen Amerikanska Gymnasiet i Sverige AB i Halmstads kommun "
="SI 2026:8640";="2026-09-01";="Uppgift om Fjälkinge skola LM med huvudmannen KRISTIANSTADS KOMMUN i Kristianstads kommun "
="SI 2026:8639";="2026-09-01";="Återkallande av godkännanden som inte nyttjas för Edukatus Alliance AB vid Yrkesgymnasiet Solna i Solna kommun "
